Symbol,Description,Price,Price - Currency,Target price 1 year,Target price 1 year - Currency,Analyst Rating,Technical Rating 1 week,Target price performance % 1 year,Price Change % 1 day,Oscillators Rating 1 day,Oscillators Rating 1 week,Moving Averages Rating 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Average Volume 90 days,Average Volume 60 days,Average Volume 30 days,Average Volume 10 days,Beta 1 year,Beta 3 years,Beta 5 years,Performance % All Time,Performance % 10 years,Performance % 5 years,Performance % 1 year,Performance % Year to date,Performance % 6 months,Performance % 3 months,Performance % 1 month,Performance % 1 week,Money Flow Index (14) 1 month,Money Flow Index (14) 1 week,Money Flow Index (14) 1 day,Money Flow Index (14) 2 hours,"EBITDA, Trailing 12 months","EBITDA, Trailing 12 months - Currency","Basic EPS, Annual","Basic EPS, Annual - Currency","EPS diluted, Annual","EPS diluted, Annual - Currency","EPS diluted, Quarterly","EPS diluted, Quarterly - Currency","EPS forecast, Quarterly","EPS forecast, Quarterly - Currency","Gross profit, Quarterly","Gross profit, Quarterly - Currency","Gross profit, Annual","Gross profit, Annual - Currency","Free cash flow, Quarterly","Free cash flow, Quarterly - Currency","Free cash flow, Annual","Free cash flow, Annual - Currency","Net income, Annual","Net income, Annual - Currency","Total equity, Quarterly","Total equity, Quarterly - Currency",Market capitalization,Market capitalization - Currency,Price to book ratio,"Forward non-GAAP price to earnings, Annual",Price Change % 1 day,Price Change % 1 week,Price Change % 1 month,Simple Moving Average (3) 1 day,Simple Moving Average (20) 1 day,Simple Moving Average (30) 1 day,Simple Moving Average (50) 1 day,Simple Moving Average (75) 1 day,Simple Moving Average (100) 1 day,Exponential Moving Average (3) 1 day,Exponential Moving Average (9) 1 day,Exponential Moving Average (21) 1 day,Exponential Moving Average (50) 1 day,Exponential Moving Average (75) 1 day,Exponential Moving Average (100) 1 day
SOKM,SOK MARKETLER TICARET,60.049999,TRY,88.325,TRY,Strong buy,Neutral,47.085764314500665,-0.4145937050513053,Sell,Neutral,Strong sell,8846635,0.8805858328249457,35775385222,TRY,,,,,0.838565,Retail Trade,9775474.98888889,10117177.683333334,11242401.6,10011483.8,1.2258648,0.7877513,0.7565358,473.5434479465138,497.51242786069656,582.3863522727273,99.23689778490039,10.183484403669725,2.0390841814472114,-5.134281281742201,-2.7530380566801624,-8.94616871627757,66.55513414334388,48.43155696555004,35.53911085237645,63.52146704061412,,,7.4942,TRY,7.4942,TRY,0.02,TRY,,,5443306674,TRY,21572579978,TRY,4424725240,TRY,10228098010,TRY,4446245751,TRY,24810954047,TRY,35775385222,TRY,1.4359408712777626,6.467160662258802,-0.4145937050513053,2.5619129387175565,2.5619129387175565,60.14999866666668,64.15250030000011,62.58000013333326,61.72100002,63.517999880000026,63.240999880000025,60.18998166146628,61.722698534440106,62.68098104647055,62.674836390291546,62.45511795917367,61.96550374428789
ALARK,ALARKO HOLDING,118.9,TRY,173.72,TRY,Strong buy,Neutral,46.10597140454162,-1.7355371900826402,Neutral,Sell,Sell,6001766,0.6282716517216902,52449157471,TRY,,,,,1.85835,Finance,8296925.977777782,8667873.333333312,9168916.000000017,9314730.600000005,1.2103053,1.1361638,1.112838,5292978.042852119,4501.3985310354465,4239.416058394161,69.1322829673279,29.945355191256837,20.101010101010104,-4.651162790697673,0.7627118644067845,-1.978565539983505,59.48580512503445,45.86100940483682,68.71732320539947,58.41650837314228,,,26.351,TRY,26.351,TRY,,,,,,,981417990.0000011,TRY,,,3771825430,TRY,11440784915,TRY,,,52449157471,TRY,,5.070362473347548,-1.7355371900826402,-0.9991673605328799,-0.9991673605328799,120.26666666666667,119.01000000000002,118.28333333333332,123.43200040000002,125.05200066666661,120.05450046000006,119.87922179246465,119.98722370527288,119.9676715445846,120.88829991194852,120.06319530514305,118.6193571677219
KRVGD,KERVAN GIDA,27.5,TRY,39.85,TRY,Strong buy,Neutral,44.90909090909092,-3.0324434755838,Sell,Sell,Sell,1574500,0.49549238820470776,6789702036,TRY,20.415738678544916,1.347,TRY,-21.356842596917332,0.881523,Consumer Non-Durables,1785877.4666666666,1868124.8000000024,2578733.1666666637,3038283.1999999946,0.59491676,1.1375705,1.0253108,255.55555555555554,255.55555555555554,255.55555555555554,75.15923566878982,28.145392737436755,31.831249672519185,-3.644011785423554,-4.8442906574394415,-11.971830985915489,65.11628133311132,52.60041589129333,49.20837872371491,48.715109899613424,852018000,TRY,1.344,TRY,1.344,TRY,0.2372,TRY,,,489163007,TRY,2088228999.9999998,TRY,-450260980,TRY,-1176715000,TRY,322558000,TRY,4312914000,TRY,6789702036,TRY,1.6646529410482833,6.836303106266976,-3.0324434755838,-3.4410112359550578,-3.4410112359550578,28.30666666666663,28.94700009999997,28.87866673333331,28.725600099999983,28.62133346666665,27.280600130000018,28.167556618198834,28.999952627896093,29.039009685565354,28.577550960363435,27.966981027981358,27.358107840729303
THYAO,TURK HAVA YOLLARI,312.25,TRY,450.325556,TRY,Strong buy,Buy,44.21955356285028,2.042483660130719,Neutral,Neutral,Buy,43218700,1.2985241516637889,422280000000,TRY,2.635428087206716,118.4817,TRY,244.71414855546828,0,Transportation,37804370.688888736,36884509.44999992,35818520.09999995,34843812.899999835,1.2212815,1.204309,1.2672153,13854894.009850468,4316.548797736917,2408.0321285140562,90.39634146341463,33.72591006423983,20.443587270973964,16.511194029850746,-3.7750385208012327,-0.08,69.43355008142387,63.210045593545445,43.31232054671626,68.15164541849956,115651000000,TRY,118.121,TRY,118.121,TRY,67.99,TRY,,,22299000000,TRY,117659000000,TRY,21415000000,TRY,127755000000,TRY,163003000000,TRY,457112000000,TRY,422280000000,TRY,0.9390935925787035,5.173739988026085,2.042483660130719,3.137902559867878,3.137902559867878,310.0833333333333,313.94999999999993,316.8333333333333,308.81000000000006,298.1700000000001,290.55799999999994,309.8040122403595,310.5047492736113,312.28759872291437,306.3134119641925,298.91935380667843,291.63768390430477
ATAKP,ATAKEY PATATES,47.18,TRY,67.66,TRY,Strong buy,Sell,43.40822382365408,-0.6736842105263163,Sell,Buy,Strong sell,1011163,0.5031234901886832,6591480000,TRY,,,,,0,Consumer Non-Durables,1749317.322222222,1422584.3833333333,1494998.3333333333,1893619.5,1.291244,2.052907,2.052907,8.609578927476495,8.609578927476495,8.609578927476495,8.609578927476495,-0.4641392209223977,-10.981132075471699,-10.218837492270932,-0.2536976797821919,-5.3370786516854,,53.95734812397446,61.54210480414014,57.639717085194874,,,2.3337,TRY,2.3337,TRY,-0.0286,TRY,,,99991522,TRY,622874464,TRY,261439300,TRY,295684310,TRY,295694667,TRY,3067164324,TRY,6591480000,TRY,2.134569254058984,4.985515271178533,-0.6736842105263163,0.5112931510714337,0.5112931510714337,47.08000033333334,47.541999849999954,47.230666433333326,46.05959989999996,48.96653303999996,50.21819981000001,47.30546228856553,48.01446966113866,47.79249655456995,47.86487216009282,48.664016768911786,49.80639375561812
YATAS,YATAS YATAK VE YORGAN,38,TRY,54.45,TRY,Strong buy,Buy,43.28947368421054,1.8766783344953983,Neutral,Neutral,Strong buy,2886979,1.4895110725600047,5363882861,TRY,7.80047213383968,4.8715,TRY,36.21239234984902,3.57942,Distribution Services,2622350.1333333408,2342457.9333333382,3070294.43333337,1922384.2999999851,1.0918981,0.93121725,1.0368998,63201.39777815426,14356.52959594,866.9211195928752,15.501512735470348,56.765676567656776,33.70865587614355,30.674002751031647,4.740906966397666,-1.041671820746261,75.72302376692967,73.31696859589329,65.2078009918179,61.098747718518624,1385895320,TRY,4.8715,TRY,4.8715,TRY,2.8715,TRY,,,1083851737,TRY,3322607622,TRY,1290937250,TRY,317791100,TRY,700347610,TRY,4675072693,TRY,5363882861,TRY,1.168538275471213,4.9397589891589195,1.8766783344953983,5.379919429286761,5.379919429286761,37.03333266666666,37.07099990000001,35.96266676666667,33.022,32.20506669333334,31.6134,37.379455548818605,37.198581426254464,36.499197286954846,34.31963082121728,33.24800086194172,32.67237573539514
GWIND,GALATA WIND ENERJI,29.700001,TRY,41.695191040843206,TRY,Strong buy,Buy,40.387843895504275,1.0204115646258565,Sell,Neutral,Strong buy,8338769,1.1982934931263212,15875994411,TRY,25.720967350827053,1.1547,TRY,-40.27001862197393,2.51952,Utilities,6055150.87777778,5633926.099999998,6666665.300000005,6836422.799999991,0.673852,1.3147418,1.3360792,500.9875264820491,500.9875264820491,500.9875264820491,61.66727324824314,35.61644292237444,17.391312940368103,16.015628906249994,0.8146707676398783,-4.378615723715899,75.70394814123577,57.84377043646918,67.05735620872483,62.5875640009899,1405427130,TRY,1.1547,TRY,1.1547,TRY,-0.3378,TRY,,,299533577,TRY,1103508560,TRY,259866170,TRY,650800350,TRY,623547735,TRY,7032795086,TRY,15875994411,TRY,2.2804597621718576,7.025607231634007,1.0204115646258565,3.4843204360863957,3.4843204360863957,29.600000666666663,29.38200005000001,29.143999966666684,27.52999997999999,27.338933373333322,26.922399980000026,29.55222425039535,29.56035610610135,29.242319334732954,28.22821016643855,27.68861787139279,27.313291284738558
DOAS,DOGUS OTOMOTIV,267.75,TRY,370.794286,TRY,Buy,Sell,38.485260877684404,-3.6870503597122304,Sell,Sell,Strong sell,3131988,0.8754585553201362,55044000000,TRY,2.8182756889381495,95.0049,TRY,140.42073990095176,20.847,Retail Trade,3990638.4444444445,4497447.866666666,3735553.7333333334,3678811.1,0.699159,1.0943288,1.3253939,8598.830409356728,2960,6627.386934673367,80.3030303030303,4.182879377431907,12.35837180025178,-2.012808783165599,-8.461538461538462,-10.972568578553616,70.03031025466821,53.55577972943009,54.948728964966364,20.67688441801161,24775230000,TRY,95.5941,TRY,95.5941,TRY,20.5611,TRY,,,11931451000,TRY,30914266000,TRY,-5897589000,TRY,1711525000,TRY,19622080000,TRY,41845590000,TRY,55044000000,TRY,1.3855128601984148,3.043373649765082,-3.6870503597122304,-11.633663366336634,-11.633663366336634,277.5833333333333,295.1249999999999,296.3499999999998,312.30500000000006,301.9433333333335,291.8545005,277.10857224689164,289.29609744531297,296.3650576705923,300.2864498012566,296.9718572584509,292.12844184290026
ASTOR,ASTOR ENERJI,99.949997,TRY,135.40254403131115,TRY,Strong buy,Sell,35.47028323703818,1.9897928571428531,Neutral,Neutral,Strong sell,18742086,1.2055264211334977,97804000000,TRY,21.96220544935179,4.551,TRY,,0.53983,Producer Manufacturing,17841791.733333334,16392929.3,16770389.466666667,14823718.4,1.0613755,1.4973288,1.4973288,626.9090690909092,626.9090690909092,626.9090690909092,77.37355909045462,5.376909971047123,-7.710067405355495,-10.358747085201797,-4.170664429530202,-3.0552890397672146,71.64793973588547,31.224381365643225,42.50441354794975,57.34795801446864,5688169600,TRY,4.6377,TRY,4.6377,TRY,1.5582,TRY,,,3063270570,TRY,6404559227,TRY,1001240330,TRY,1988618130,TRY,4598326879,TRY,12238814122,TRY,97804000000,TRY,8.1503079095907,15.79095924155048,1.9897928571428531,1.1639615031185702,1.1639615031185702,98.81666566666665,102.9524998499999,102.21333346666658,99.40799993999997,104.61866665333336,107.30899998999998,99.25178851289184,100.50587630357926,101.59476687246048,102.50824098567138,103.69747730740733,104.4831022907446
SELEC,SELCUK ECZA DEPOSU,50.150002,TRY,67.5,TRY,Neutral,Neutral,34.596205998157295,2.1801140105903016,Neutral,Neutral,Strong sell,2193022,1.1085252521086157,30478681137,TRY,139.53812465219812,0.3594,TRY,-90.62768925861215,0.509373,Distribution Services,1833472.822222222,1455128.3333333333,1511531.7333333334,1965699.8,0.6380128,0.8869546,0.7481103,2246.003023120657,2288.095333333333,971.5812393162395,44.02642734060884,-17.786881967213116,-6.957328127742927,-12.09464876590094,-5.733080719302993,0.09980838721790222,55.56945200666841,30.898477332816285,66.50825169468078,66.39051832443116,4932921570,TRY,0.3594,TRY,0.3594,TRY,-3.7167,TRY,,,3406790267,TRY,8751556023,TRY,677566860,TRY,2962772820,TRY,223213478,TRY,15061965960,TRY,30478681137,TRY,2.067673827868119,6.454311711711712,2.1801140105903016,2.8507056132364843,2.8507056132364843,49.003334333333335,50.428499550000026,51.407333100000024,51.951999879999875,54.5439998666666,56.280000009999924,49.410397481352824,49.5717809111897,50.54563264481727,52.396044419506495,53.4690891747806,54.01765750744726
